id,name,username,password
a246aad3-8fc4-44e7-9e18-cbb04da23fb8,Marie Curie,marie-curie,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
3a40ea67-0ec1-430b-8788-2a89c463c533,Martin Luther King Jr,martin-luther-king-jr,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
27e0ee7e-388c-4a1b-b784-bc8345379830,Cleopatra,cleopatra,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
463c6503-ceb6-438b-8d40-93ec00932094,Albert Einstein,albert-einstein,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
1a3fa15b-f416-4fe5-a181-c98a2ceb053a,Ada Lovelace,ada-lovelace,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
d8101a24-cdec-4ed6-b640-5be827715f23,Mozart,mozart,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
91a4e3c6-7a13-44f4-9693-eedc18f313f6,Malala Yousafzai,malala-yousafzai,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
512dbb56-dc65-4e3a-ae37-1be70805f725,Vincent van Gogh,vincent-van-gogh,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
16aeb85b-b1f2-4606-8730-e7e477dc5442,Rosa Parks,rosa-parks,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
76bf5ff1-9819-4432-9a7d-ae651c45b6f5,William Shakespeare,william-shakespeare,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
9d1e3c26-84f5-44ce-9481-b696d4395c08,Frida Kahlo,frida-kahlo,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
cc113202-ebbd-4cf6-81f5-4421bd63eaf5,Marlon Brando,marlon-brando,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
310f5b93-8ca6-4c00-94f1-e64269263209,Mother Teresa,mother-teresa,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
db709a23-cf6d-4a52-a3c6-53907ec81649,Coco Chanel,coco-chanel,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
3ee83bad-5b77-4723-88ea-6a68f7da1fd1,Elvis Presley,elvis-presley,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
6ab9ca45-16c1-4ed4-9071-56fd42b7a028,Charles Darwin,charles-darwin,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
8f8d3418-0505-4244-a2e2-cf1dda3199e9,Alan Turing,alan-turing,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
4d69209e-6a25-40fa-82d5-a30e65d0a95f,Nikola Tesla,nikola-tesla,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
85b4aae4-2732-4535-9719-de910a5871a3,J.K. Rowling,jk-rowling,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
26f81a96-d9cd-40a8-9e3a-dd05fe456496,Stephen Hawking,stephen-hawking,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
f0a75412-e165-4499-8407-4bf9c5c969a2,Martha Graham,martha-graham,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
411b41d0-4ed5-4755-ba07-bccd62abd184,Mahatma Gandhi,mahatma-gandhi,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
76376d2c-20df-4b00-8341-4b314e8bf7bd,Cesar,cesar,$2b$10$wqYMQBu3rgLPS6CVhEOxTeXoN6LeAMg8alFj1NOjiwZhUjFV4/VBO
